full,ion,length,charge,neutral_loss,index
X23^3,X,23,3,,208
X24,X,24,1,,209
X24^2,X,24,2,,210
X24^3,X,24,3,,211
X25,X,25,1,,212
X25^2,X,25,2,,213
X25^3,X,25,3,,214
X26^2,X,26,2,,215
X26^3,X,26,3,,216
X27^2,X,27,2,,217
X27^3,X,27,3,,218
X28^2,X,28,2,,219
X28^3,X,28,3,,220
X29^2,X,29,2,,221
X29^3,X,29,3,,222
X2^2,X,2,2,,223
X3,X,3,1,,224
X3^2,X,3,2,,225
X3^3,X,3,3,,226
X4,X,4,1,,227
X4^2,X,4,2,,228
X4^3,X,4,3,,229
X5,X,5,1,,230
X5^2,X,5,2,,231
X5^3,X,5,3,,232
X6,X,6,1,,233
X6^2,X,6,2,,234
X6^3,X,6,3,,235
X7,X,7,1,,236
X7^2,X,7,2,,237
X7^3,X,7,3,,238
X8,X,8,1,,239
X8^2,X,8,2,,240
X8^3,X,8,3,,241
X9,X,9,1,,242
X9^2,X,9,2,,243
X9^3,X,9,3,,244
Z1,Z,1,1,,245
Z10,Z,10,1,,246
Z10^2,Z,10,2,,247
Z10^3,Z,10,3,,248
Z11,Z,11,1,,249
Z11^2,Z,11,2,,250
Z11^3,Z,11,3,,251
Z12,Z,12,1,,252
Z12^2,Z,12,2,,253
Z12^3,Z,12,3,,254
Z13,Z,13,1,,255
Z13^2,Z,13,2,,256
Z13^3,Z,13,3,,257
Z14,Z,14,1,,258
Z14^2,Z,14,2,,259
Z14^3,Z,14,3,,260
Z15,Z,15,1,,261
Z15^2,Z,15,2,,262
Z15^3,Z,15,3,,263
Z16,Z,16,1,,264
Z16^2,Z,16,2,,265
Z16^3,Z,16,3,,266
Z17,Z,17,1,,267
Z17^2,Z,17,2,,268
Z17^3,Z,17,3,,269
Z18,Z,18,1,,270
Z18^2,Z,18,2,,271
Z18^3,Z,18,3,,272
Z19,Z,19,1,,273
Z19^2,Z,19,2,,274
Z19^3,Z,19,3,,275
Z2,Z,2,1,,276
Z20,Z,20,1,,277
Z20^2,Z,20,2,,278
Z20^3,Z,20,3,,279
Z21,Z,21,1,,280
Z21^2,Z,21,2,,281
Z21^3,Z,21,3,,282
Z22,Z,22,1,,283
Z22^2,Z,22,2,,284
Z22^3,Z,22,3,,285
Z23,Z,23,1,,286
Z23^2,Z,23,2,,287
Z23^3,Z,23,3,,288
Z24,Z,24,1,,289
Z24^2,Z,24,2,,290
Z24^3,Z,24,3,,291
Z25,Z,25,1,,292
Z25^2,Z,25,2,,293
Z25^3,Z,25,3,,294
Z26,Z,26,1,,295
Z26^2,Z,26,2,,296
Z26^3,Z,26,3,,297
Z27,Z,27,1,,298
Z27^2,Z,27,2,,299
Z27^3,Z,27,3,,300
Z28,Z,28,1,,301
Z28^2,Z,28,2,,302
Z28^3,Z,28,3,,303
Z29,Z,29,1,,304
Z29^2,Z,29,2,,305
Z29^3,Z,29,3,,306
Z2^2,Z,2,2,,307
Z3,Z,3,1,,308
Z3^2,Z,3,2,,309
Z3^3,Z,3,3,,310
Z4,Z,4,1,,311
Z4^2,Z,4,2,,312
Z4^3,Z,4,3,,313
Z5,Z,5,1,,314
Z5^2,Z,5,2,,315
Z5^3,Z,5,3,,316
Z6,Z,6,1,,317
Z6^2,Z,6,2,,318
Z6^3,Z,6,3,,319
Z7,Z,7,1,,320
Z7^2,Z,7,2,,321
Z7^3,Z,7,3,,322
