b21^4	38864	293404	0.13246
y22^4	72574	259766	0.27938
b22^4	37871	259766	0.14579
y23^4	62988	221551	0.28430
b23^4	34077	221551	0.15381
y24^4	51487	176120	0.29234
b24^4	26414	176120	0.14998
y25^4	44119	142440	0.30974
b25^4	23620	142440	0.16582
y26^4	36180	107882	0.33537
b26^4	18183	107882	0.16855
y27^4	27473	77709	0.35354
b27^4	13766	77709	0.17715
y28^2	28923	128055	0.22586
y28^3	44577	127297	0.35018
y28^4	16968	49584	0.34221
b28^2	13575	128055	0.10601
b28^3	16899	127297	0.13275
b28^4	9253	49584	0.18661
y9^5	1813	76859	0.02359
y10^5	1669	76858	0.02172
b10^5	1633	76858	0.02125
b11^5	1721	76853	0.02239
b12^5	1560	76752	0.02033
y13^5	1619	76582	0.02114
y14^5	2024	75932	0.02666
b14^5	1697	75932	0.02235
y15^5	2932	73635	0.03982
b15^5	1916	73635	0.02602
y16^5	3353	70448	0.04760
b16^5	2101	70448	0.02982
y17^5	3821	66598	0.05737
b17^5	2509	66598	0.03767
y18^5	5266	62206	0.08465
b18^5	3187	62206	0.05123
y19^5	6280	57679	0.10888
b19^5	3541	57679	0.06139
y20^5	6176	53072	0.11637
b20^5	4142	53072	0.07804
y21^5	7215	47842	0.15081
b21^5	3861	47842	0.08070
y22^5	8095	44692	0.18113
b22^5	4263	44692	0.09539
y23^5	8071	39469	0.20449
b23^5	4232	39469	0.10722
y24^5	6720	32067	0.20956
b24^5	3657	32067	0.11404
y25^5	6267	26938	0.23265
b25^5	3915	26938	0.14533
y26^5	6009	21243	0.28287
b26^5	3484	21243	0.16401
y27^5	5250	15889	0.33042
b27^5	2564	15889	0.16137
y28^5	3118	10387	0.30018
b28^5	1887	10387	0.18167
p^5	36214	76859	0.47117
y29^2	12549	65480	0.19165
y29^3	21757	65214	0.33362
y29^4	8893	26800	0.33183
b29^2	7312	65480	0.11167
b29^3	8865	65214	0.13594
b29^4	4797	26800	0.17899
b9^6	197	8235	0.02392
b11^6	178	8235	0.02162
y12^6	187	8235	0.02271
b12^6	207	8235	0.02514
y13^6	165	8235	0.02004
b13^6	250	8235	0.03036
y14^6	183	8234	0.02222
b14^6	192	8234	0.02332
y16^6	242	8223	0.02943
b16^6	228	8223	0.02773
y17^6	344	8200	0.04195
b17^6	337	8200	0.04110
y18^6	317	8159	0.03885
b18^6	287	8159	0.03518
y19^6	512	7971	0.06423
b19^6	366	7971	0.04592
y20^6	549	7733	0.07099
b20^6	459	7733	0.05936
y21^6	728	7241	0.10054
b21^6	545	7241	0.07527
y22^6	891	6941	0.12837
b22^6	421	6941	0.06065
y23^6	1026	6440	0.15932
b23^6	667	6440	0.10357
y24^6	977	5609	0.17418
b24^6	644	5609	0.11482
y25^6	1199	4910	0.24420
b25^6	751	4910	0.15295
y26^6	899	3848	0.23363
b26^6	552	3848	0.14345
y27^6	914	2777	0.32913
b27^6	518	2777	0.18653
p^6	5349	8235	0.64954
y28^6	461	1738	0.26525
b28^6	334	1738	0.19217
y30^2	5673	24580	0.23080
y30^3	9077	24361	0.37260
b30^2	2872	24580	0.11684
b30^3	3773	24361	0.15488
y30^4	3226	11538	0.27960
b30^4	1716	11538	0.14873
y29^5	1789	5893	0.30358
b29^5	1093	5893	0.18547
y29^6	226	1006	0.22465
b29^6	165	1006	0.16402
y30^5	516	2292	0.22513
b30^5	383	2292	0.16710
p^7	260	559	0.46512
y31^2	3738	18545	0.20156
y31^3	7429	18541	0.40068
y31^4	3083	9582	0.32175
b31^2	2125	18545	0.11459
b31^3	3056	18541	0.16482
b31^4	1627	9582	0.16980
y31^5	587	1923	0.30525
b31^5	289	1923	0.15029
y32^2	2157	13830	0.15597
y32^3	5136	13829	0.37139
y32^4	2409	7726	0.31180
b32^2	1329	13830	0.09610
b32^3	2443	13829	0.17666
b32^4	1147	7726	0.14846
y33^2	1447	9728	0.14875
y33^3	3629	9728	0.37305
y33^4	1764	6017	0.29317
b33^2	910	9728	0.09354
b33^3	1551	9728	0.15944
b33^4	1283	6017	0.21323
y32^5	423	1659	0.25497
b32^5	255	1659	0.15371
